Likes,Name,,Meaning
2167,Aan,•,Respect; Pride
671,Aar,•,Abbreviated from Aarav
425,Aas,•,Asylum
312,Abd,•,Slave; Servant
1294,Abi,•,My Father; All
1270,Adi,•,More; Extra; Companion of Prophet Muhammad; Jewel or Ornament; Myth Name; Beginning; First Born; Adornment; Jewel; Superior; Ornament
417,Aga,•,Sword
109,Aha,•,Ascertainment; Affirmation
320,Ahd,•,Knowledge
126,Ahi,•,Fawn; Serpent; Cloud; Water; Sun
608,Aja,•,Fire; Unborn
250,Aji,•,Taste
247,Aka,•,Creeper; Vine; Weed; Bad
267,Aki,•,Autumn; Bright; Short Form of Joakim
207,Aks,•,Reflection
320,Ala,•,Nobility; Excellence; Superior; All and Rich; Power; Rule; Truthful; Noble; Exalted; Defending Men
423,Ali,•,God; Excellent; Noble; Sublime; Light; Lofty; To Ascend; Exalted One; Also Mohammad's Son-in-law; Elevated
324,Ami,•,Nectar
318,Amr,•,Order; Command; Old Arabic Name; The Generous One
635,Anu,•,An Atom
80,Any,•,A New Beginning
86,Apa,•,Water
65,Api,•,Father in Rejoicing; Friend; Ally; Acquaintance
70,Apu,•,Virtuous; Divine; To be Pure; Flawless
135,Ara,•,Swift; Speedy; Ornament; Decoration
221,Ari,•,Lion; Brave; Inner Skin; Eagle; Lord Vishnu
45,Asy,•,Lord Ganesh
226,Ata,•,Abandon; One of Twins; From Fante; Gift; Donation; To Give; Twin; Father
200,Ati,•,Extremely
186,Aum,•,The Sacred Syllable
738,Avi,•,The Sun and Air; Honest; My Father is Exalted
192,Aws,•,Name of a Tribe in Madinah
221,Azb,•,Sweet
769,Aadi,•,First; Most Important
107,Aage,•,Carves the Stones; Stonefeild
279,Aapt,•,Trustworthy
308,Aarv,•,Peaceful; Melodious; Good Sound; Music
181,Aary,•,God Rama
183,Aavi,•,Smoke
672,Aayu,•,Span of Life; Long Life
268,Aban,•,Old Arabic Name; Dual of Abu; 8th Month of the Iranian Calendar; Name of a Certain Angel; Bloom of Love; Little Abbot; Waters
168,Abby,•,Father; My Father is Light; Father in Rejoicing
120,Abed,•,Worshipper; Adorer
117,Abel,•,Breath; Highborn and Steadfast; Child; Breathing Spirit; Son; Vapour
164,Abha,•,Shining; Luster; Glorious; Beauty
666,Abhi,•,Fearless; Better than Best
94,Abhu,•,Unborn; Nonexistent
128,Abid,•,Worshipper of Allah; Spark of Fire; Worshipper of God
135,Abij,•,Seedless
233,Abir,•,Perfume; Colour; Thinker; Traveller; Strong; Red Powder; The Red Colour Used in Holi Festival
107,Abra,•,Fire; Cloud
89,Achu,•,Can Not Destroy
89,Adag,•,Pure; Blemishless
158,Adam,•,Red Earth; First Human Being; Created by God; Red; Man; To be Red; Ruby; A Prophet's Name; Man of Earth; First Human
195,Adan,•,Variation of Adam from the Red Earth; Earth; Man
72,Adar,•,High; Eminent; Fire; Noble
140,Adel,•,Righteous; Upright; Sincere; Justice; Noble; Equal; Alike; God is Eternal; High-born; Brave
103,Adem,•,Earth; Of the Earth
93,Adhi,•,Earth; First
109,Adib,•,Cultured; Well Mannered One; Scholar; Civil; Educated Person
103,Adie,•,Noble; Kind; Adornment; Jewel
355,Adil,•,Sincere; Just; Fair; Judicious; Honest; Righteous; Negotiation; Exchange; Justice; Upright; Kindness; Fear; Nest
395,Adit,•,From the Beginning
192,Adiv,•,Gentle; Delicate
59,Adol,•,Stable
181,Adra,•,More Knowledgeable; Better Informed; Hard; Rock
81,Adri,•,Mountain; Hard as Rock; Seven
222,Adya,•,Today
116,Aera,•,Lion
56,Afaf,•,Pure; Decent
106,Afif,•,Pure-chaste; Chaste; Modest
287,Agam,•,Extending Far; Profound; Unimaginable; Intelligent
151,Agha,•,Pre-eminent; Master; Owner; Sinful; Another Name for God; Fight
101,Agni,•,Fire; Flame
120,Agya,•,A Fool who has No Knowledge in Standard Scriptures; The Ignorant Person
158,Ahad,•,Another Name for God; One; An Individual; Allah
698,Ahan,•,Rich; Morning; Dawn; One who is of the Nature of Time Itself
74,Ahar,•,Defender
54,Ahel,•,Cowboy
83,Ahem,•,Proud
306,Ahil,•,Prince; Emperor; Ruler
86,Ahim,•,Cloud; Water; Traveller
113,Ahir,•,The Devotee and God are One
82,Ahuk,•,Inevitable
84,Aifa,•,Smart
62,Aila,•,Born of Intellect; Another Name for Pururavas
146,Ajai,•,Invincible
141,Ajan,•,The Unborn; Love of Vishnu
129,Ajar,•,The God; One who is Not Old
86,Ajat,•,Birthless; Lord Shiva
525,Ajay,•,Unconquerable; Invincible
309,Ajit,•,Unconquerable; Invincible; Victorious
199,Ajoy,•,Joyful
152,Akal,•,Timeless; Chief of a Tribe; Supreme Being
78,Akar,•,Shape; Form
